STAR version=2.7.10b
STAR compilation time,server,dir=2022-11-01T09:53:26-04:00 :/home/dobin/data/STAR/STARcode/STAR.master/source
STAR git: On branch master ; commit c6f8efc2c7043ef83bf8b0d9bed36bbb6b9b1133 ; diff files: CHANGES.md 
##### Command Line:
STAR --runThreadN 12 --runMode genomeGenerate --genomeDir star_index_hg38 star_index_grch38 --genomeFastaFiles grch38.primary_assembly.fa --sjdbGTFfile gencode.v42.primary_assembly.annotation.gtf
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    12     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     star_index_hg38     ~RE-DEFINED
genomeFastaFiles              grch38.primary_assembly.fa        ~RE-DEFINED
sjdbGTFfile                   gencode.v42.primary_assembly.annotation.gtf     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
grch38.primary_assembly.fa : chr # 80  "KI270387.1" chrStart: 3105882112
grch38.primary_assembly.fa : chr # 81  "KI270388.1" chrStart: 3106144256
grch38.primary_assembly.fa : chr # 82  "KI270389.1" chrStart: 3106406400
grch38.primary_assembly.fa : chr # 83  "KI270390.1" chrStart: 3106668544
grch38.primary_assembly.fa : chr # 84  "KI270391.1" chrStart: 3106930688
grch38.primary_assembly.fa : chr # 85  "KI270392.1" chrStart: 3107192832
grch38.primary_assembly.fa : chr # 86  "KI270393.1" chrStart: 3107454976
grch38.primary_assembly.fa : chr # 87  "KI270394.1" chrStart: 3107717120
grch38.primary_assembly.fa : chr # 88  "KI270395.1" chrStart: 3107979264
grch38.primary_assembly.fa : chr # 89  "KI270396.1" chrStart: 3108241408
grch38.primary_assembly.fa : chr # 90  "KI270411.1" chrStart: 3108503552
grch38.primary_assembly.fa : chr # 91  "KI270412.1" chrStart: 3108765696
grch38.primary_assembly.fa : chr # 92  "KI270414.1" chrStart: 3109027840
grch38.primary_assembly.fa : chr # 93  "KI270417.1" chrStart: 3109289984
grch38.primary_assembly.fa : chr # 94  "KI270418.1" chrStart: 3109552128
grch38.primary_assembly.fa : chr # 95  "KI270419.1" chrStart: 3109814272
grch38.primary_assembly.fa : chr # 96  "KI270420.1" chrStart: 3110076416
grch38.primary_assembly.fa : chr # 97  "KI270422.1" chrStart: 3110338560
grch38.primary_assembly.fa : chr # 98  "KI270423.1" chrStart: 3110600704
grch38.primary_assembly.fa : chr # 99  "KI270424.1" chrStart: 3110862848
grch38.primary_assembly.fa : chr # 100  "KI270425.1" chrStart: 3111124992
grch38.primary_assembly.fa : chr # 101  "KI270429.1" chrStart: 3111387136
grch38.primary_assembly.fa : chr # 102  "KI270435.1" chrStart: 3111649280
grch38.primary_assembly.fa : chr # 103  "KI270438.1" chrStart: 3111911424
grch38.primary_assembly.fa : chr # 104  "KI270442.1" chrStart: 3112173568
grch38.primary_assembly.fa : chr # 105  "KI270448.1" chrStart: 3112697856
grch38.primary_assembly.fa : chr # 106  "KI270465.1" chrStart: 3112960000
grch38.primary_assembly.fa : chr # 107  "KI270466.1" chrStart: 3113222144
grch38.primary_assembly.fa : chr # 108  "KI270467.1" chrStart: 3113484288
grch38.primary_assembly.fa : chr # 109  "KI270468.1" chrStart: 3113746432
grch38.primary_assembly.fa : chr # 110  "KI270507.1" chrStart: 3114008576
grch38.primary_assembly.fa : chr # 111  "KI270508.1" chrStart: 3114270720
grch38.primary_assembly.fa : chr # 112  "KI270509.1" chrStart: 3114532864
grch38.primary_assembly.fa : chr # 113  "KI270510.1" chrStart: 3114795008
grch38.primary_assembly.fa : chr # 114  "KI270511.1" chrStart: 3115057152
grch38.primary_assembly.fa : chr # 115  "KI270512.1" chrStart: 3115319296
grch38.primary_assembly.fa : chr # 116  "KI270515.1" chrStart: 3115581440
grch38.primary_assembly.fa : chr # 117  "KI270516.1" chrStart: 3115843584
grch38.primary_assembly.fa : chr # 118  "KI270517.1" chrStart: 3116105728
grch38.primary_assembly.fa : chr # 119  "KI270518.1" chrStart: 3116367872
grch38.primary_assembly.fa : chr # 120  "KI270519.1" chrStart: 3116630016
grch38.primary_assembly.fa : chr # 121  "KI270521.1" chrStart: 3116892160
grch38.primary_assembly.fa : chr # 122  "KI270522.1" chrStart: 3117154304
grch38.primary_assembly.fa : chr # 123  "KI270528.1" chrStart: 3117416448
grch38.primary_assembly.fa : chr # 124  "KI270529.1" chrStart: 3117678592
grch38.primary_assembly.fa : chr # 125  "KI270530.1" chrStart: 3117940736
grch38.primary_assembly.fa : chr # 126  "KI270538.1" chrStart: 3118202880
grch38.primary_assembly.fa : chr # 127  "KI270539.1" chrStart: 3118465024
grch38.primary_assembly.fa : chr # 128  "KI270544.1" chrStart: 3118727168
grch38.primary_assembly.fa : chr # 129  "KI270548.1" chrStart: 3118989312
grch38.primary_assembly.fa : chr # 130  "KI270579.1" chrStart: 3119251456
grch38.primary_assembly.fa : chr # 131  "KI270580.1" chrStart: 3119513600
grch38.primary_assembly.fa : chr # 132  "KI270581.1" chrStart: 3119775744
grch38.primary_assembly.fa : chr # 133  "KI270582.1" chrStart: 3120037888
grch38.primary_assembly.fa : chr # 134  "KI270583.1" chrStart: 3120300032
grch38.primary_assembly.fa : chr # 135  "KI270584.1" chrStart: 3120562176
grch38.primary_assembly.fa : chr # 136  "KI270587.1" chrStart: 3120824320
grch38.primary_assembly.fa : chr # 137  "KI270588.1" chrStart: 3121086464
grch38.primary_assembly.fa : chr # 138  "KI270589.1" chrStart: 3121348608
grch38.primary_assembly.fa : chr # 139  "KI270590.1" chrStart: 3121610752
grch38.primary_assembly.fa : chr # 140  "KI270591.1" chrStart: 3121872896
grch38.primary_assembly.fa : chr # 141  "KI270593.1" chrStart: 3122135040
grch38.primary_assembly.fa : chr # 142  "KI270706.1" chrStart: 3122397184
grch38.primary_assembly.fa : chr # 143  "KI270707.1" chrStart: 3122659328
grch38.primary_assembly.fa : chr # 144  "KI270708.1" chrStart: 3122921472
grch38.primary_assembly.fa : chr # 145  "KI270709.1" chrStart: 3123183616
grch38.primary_assembly.fa : chr # 146  "KI270710.1" chrStart: 3123445760
grch38.primary_assembly.fa : chr # 147  "KI270711.1" chrStart: 3123707904
grch38.primary_assembly.fa : chr # 148  "KI270712.1" chrStart: 3123970048
grch38.primary_assembly.fa : chr # 149  "KI270713.1" chrStart: 3124232192
grch38.primary_assembly.fa : chr # 150  "KI270714.1" chrStart: 3124494336
grch38.primary_assembly.fa : chr # 151  "KI270715.1" chrStart: 3124756480
grch38.primary_assembly.fa : chr # 152  "KI270716.1" chrStart: 3125018624
grch38.primary_assembly.fa : chr # 153  "KI270717.1" chrStart: 3125280768
grch38.primary_assembly.fa : chr # 154  "KI270718.1" chrStart: 3125542912
grch38.primary_assembly.fa : chr # 155  "KI270719.1" chrStart: 3125805056
grch38.primary_assembly.fa : chr # 156  "KI270720.1" chrStart: 3126067200
grch38.primary_assembly.fa : chr # 157  "KI270721.1" chrStart: 3126329344
grch38.primary_assembly.fa : chr # 158  "KI270722.1" chrStart: 3126591488
grch38.primary_assembly.fa : chr # 159  "KI270723.1" chrStart: 3126853632
grch38.primary_assembly.fa : chr # 160  "KI270724.1" chrStart: 3127115776
grch38.primary_assembly.fa : chr # 161  "KI270725.1" chrStart: 3127377920
grch38.primary_assembly.fa : chr # 162  "KI270726.1" chrStart: 3127640064
grch38.primary_assembly.fa : chr # 163  "KI270727.1" chrStart: 3127902208
grch38.primary_assembly.fa : chr # 164  "KI270728.1" chrStart: 3128426496
grch38.primary_assembly.fa : chr # 165  "KI270729.1" chrStart: 3130523648
grch38.primary_assembly.fa : chr # 166  "KI270730.1" chrStart: 3131047936
grch38.primary_assembly.fa : chr # 167  "KI270731.1" chrStart: 3131310080
grch38.primary_assembly.fa : chr # 168  "KI270732.1" chrStart: 3131572224
grch38.primary_assembly.fa : chr # 169  "KI270733.1" chrStart: 3131834368
grch38.primary_assembly.fa : chr # 170  "KI270734.1" chrStart: 3132096512
grch38.primary_assembly.fa : chr # 171  "KI270735.1" chrStart: 3132358656
grch38.primary_assembly.fa : chr # 172  "KI270736.1" chrStart: 3132620800
grch38.primary_assembly.fa : chr # 173  "KI270737.1" chrStart: 3132882944
grch38.primary_assembly.fa : chr # 174  "KI270738.1" chrStart: 3133145088
grch38.primary_assembly.fa : chr # 175  "KI270739.1" chrStart: 3133407232
grch38.primary_assembly.fa : chr # 176  "KI270740.1" chrStart: 3133669376
grch38.primary_assembly.fa : chr # 177  "KI270741.1" chrStart: 3133931520
grch38.primary_assembly.fa : chr # 178  "KI270742.1" chrStart: 3134193664
grch38.primary_assembly.fa : chr # 179  "KI270743.1" chrStart: 3134455808
grch38.primary_assembly.fa : chr # 180  "KI270744.1" chrStart: 3134717952
grch38.primary_assembly.fa : chr # 181  "KI270745.1" chrStart: 3134980096
grch38.primary_assembly.fa : chr # 182  "KI270746.1" chrStart: 3135242240
grch38.primary_assembly.fa : chr # 183  "KI270747.1" chrStart: 3135504384
grch38.primary_assembly.fa : chr # 184  "KI270748.1" chrStart: 3135766528
grch38.primary_assembly.fa : chr # 185  "KI270749.1" chrStart: 3136028672
grch38.primary_assembly.fa : chr # 186  "KI270750.1" chrStart: 3136290816
grch38.primary_assembly.fa : chr # 187  "KI270751.1" chrStart: 3136552960
grch38.primary_assembly.fa : chr # 188  "KI270752.1" chrStart: 3136815104
grch38.primary_assembly.fa : chr # 189  "KI270753.1" chrStart: 3137077248
grch38.primary_assembly.fa : chr # 190  "KI270754.1" chrStart: 3137339392
grch38.primary_assembly.fa : chr # 191  "KI270755.1" chrStart: 3137601536
grch38.primary_assembly.fa : chr # 192  "KI270756.1" chrStart: 3137863680
grch38.primary_assembly.fa : chr # 193  "KI270757.1" chrStart: 3138125824
Chromosome sequence lengths: 
chr1	248956422
chr2	242193529
chr3	198295559
chr4	190214555
chr5	181538259
chr6	170805979
chr7	159345973
chr8	145138636
chr9	138394717
chr10	133797422
chr11	135086622
chr12	133275309
chr13	114364328
chr14	107043718
chr15	101991189
chr16	90338345
chr17	83257441
chr18	80373285
chr19	58617616
chr20	64444167
chr21	46709983
chr22	50818468
chrX	156040895
chrY	57227415
chrM	16569
GL000008.2	209709
GL000009.2	201709
GL000194.1	191469
GL000195.1	182896
GL000205.2	185591
GL000208.1	92689
GL000213.1	164239
GL000214.1	137718
GL000216.2	176608
GL000218.1	161147
GL000219.1	179198
GL000220.1	161802
GL000221.1	155397
GL000224.1	179693
GL000225.1	211173
GL000226.1	15008
KI270302.1	2274
KI270303.1	1942
KI270304.1	2165
KI270305.1	1472
KI270310.1	1201
KI270311.1	12399
KI270312.1	998
KI270315.1	2276
KI270316.1	1444
KI270317.1	37690
KI270320.1	4416
KI270322.1	21476
KI270329.1	1040
KI270330.1	1652
KI270333.1	2699
KI270334.1	1368
KI270335.1	1048
KI270336.1	1026
KI270337.1	1121
KI270338.1	1428
KI270340.1	1428
KI270362.1	3530
KI270363.1	1803
KI270364.1	2855
KI270366.1	8320
KI270371.1	2805
KI270372.1	1650
KI270373.1	1451
KI270374.1	2656
KI270375.1	2378
KI270376.1	1136
KI270378.1	1048
KI270379.1	1045
KI270381.1	1930
KI270382.1	4215
KI270383.1	1750
KI270384.1	1658
KI270385.1	990
KI270386.1	1788
KI270387.1	1537
KI270388.1	1216
KI270389.1	1298
KI270390.1	2387
KI270391.1	1484
KI270392.1	971
KI270393.1	1308
KI270394.1	970
KI270395.1	1143
KI270396.1	1880
KI270411.1	2646
KI270412.1	1179
KI270414.1	2489
KI270417.1	2043
KI270418.1	2145
KI270419.1	1029
KI270420.1	2321
KI270422.1	1445
KI270423.1	981
KI270424.1	2140
KI270425.1	1884
KI270429.1	1361
KI270435.1	92983
KI270438.1	112505
KI270442.1	392061
KI270448.1	7992
KI270465.1	1774
KI270466.1	1233
KI270467.1	3920
KI270468.1	4055
KI270507.1	5353
KI270508.1	1951
KI270509.1	2318
KI270510.1	2415
KI270511.1	8127
KI270512.1	22689
KI270515.1	6361
KI270516.1	1300
KI270517.1	3253
KI270518.1	2186
KI270519.1	138126
KI270521.1	7642
KI270522.1	5674
KI270528.1	2983
KI270529.1	1899
KI270530.1	2168
KI270538.1	91309
KI270539.1	993
KI270544.1	1202
KI270548.1	1599
KI270579.1	31033
KI270580.1	1553
KI270581.1	7046
KI270582.1	6504
KI270583.1	1400
KI270584.1	4513
KI270587.1	2969
KI270588.1	6158
KI270589.1	44474
KI270590.1	4685
KI270591.1	5796
KI270593.1	3041
KI270706.1	175055
KI270707.1	32032
KI270708.1	127682
KI270709.1	66860
KI270710.1	40176
KI270711.1	42210
KI270712.1	176043
KI270713.1	40745
KI270714.1	41717
KI270715.1	161471
KI270716.1	153799
KI270717.1	40062
KI270718.1	38054
KI270719.1	176845
KI270720.1	39050
KI270721.1	100316
KI270722.1	194050
KI270723.1	38115
KI270724.1	39555
KI270725.1	172810
KI270726.1	43739
KI270727.1	448248
KI270728.1	1872759
KI270729.1	280839
KI270730.1	112551
KI270731.1	150754
KI270732.1	41543
KI270733.1	179772
KI270734.1	165050
KI270735.1	42811
KI270736.1	181920
KI270737.1	103838
KI270738.1	99375
KI270739.1	73985
KI270740.1	37240
KI270741.1	157432
KI270742.1	186739
KI270743.1	210658
KI270744.1	168472
KI270745.1	41891
KI270746.1	66486
KI270747.1	198735
KI270748.1	93321
KI270749.1	158759
KI270750.1	148850
KI270751.1	150742
KI270752.1	27745
KI270753.1	62944
KI270754.1	40191
KI270755.1	36723
KI270756.1	79590
KI270757.1	71251
Genome sequence total length = 3099750718
Genome size with padding = 3138387968
Jan 19 13:08:25 ..... processing annotations GTF
Processing pGe.sjdbGTFfile=gencode.v42.primary_assembly.annotation.gtf, found:
		252475 transcripts
		1643438 exons (non-collapsed)
		402097 collapsed junctions
Total junctions: 402097
Jan 19 13:08:43 ..... finished GTF processing

Estimated genome size with padding and SJs: total=genome+SJ=3339387968 = 3138387968 + 201000000
GstrandBit=32
Number of SA indices: 5897255510
Jan 19 13:08:59 ... starting to sort Suffix Array. This may take a long time...
Number of chunks: 43;   chunks size limit: 1236161184 bytes
Jan 19 13:09:19 ... sorting Suffix Array chunks and saving them to disk...
Writing 996845264 bytes into star_index_hg38//SA_0 ; empty space on disk = 9449431240704 bytes ... done
Writing 1119807288 bytes into star_index_hg38//SA_11 ; empty space on disk = 9448434393088 bytes ... done
Writing 1055549768 bytes into star_index_hg38//SA_3 ; empty space on disk = 9447314579456 bytes ... done
Writing 1084240064 bytes into star_index_hg38//SA_9 ; empty space on disk = 9446259027968 bytes ... done
Writing 1148140024 bytes into star_index_hg38//SA_8 ; empty space on disk = 9445174784000 bytes ... done
Writing 1071211128 bytes into star_index_hg38//SA_5 ; empty space on disk = 9444026642432 bytes ... done
Writing 1108374536 bytes into star_index_hg38//SA_1 ; empty space on disk = 9442955423744 bytes ... done
Writing 1052969536 bytes into star_index_hg38//SA_4 ; empty space on disk = 9441847033856 bytes ... done
Writing 1156703800 bytes into star_index_hg38//SA_7 ; empty space on disk = 9440794050560 bytes ... done
Writing 1120570920 bytes into star_index_hg38//SA_2 ; empty space on disk = 9439637340160 bytes ... done
Writing 1158824320 bytes into star_index_hg38//SA_6 ; empty space on disk = 9438516768768 bytes ...Writing 1203970040 bytes into star_index_hg38//SA_10 ; empty space on disk = 9437695766528 bytes ... done
 done
Writing 1169864680 bytes into star_index_hg38//SA_12 ; empty space on disk = 9436153954304 bytes ... done
Writing 1111974344 bytes into star_index_hg38//SA_13 ; empty space on disk = 9434984083456 bytes ... done
Writing 1072006000 bytes into star_index_hg38//SA_15 ; empty space on disk = 9433872105472 bytes ... done
Writing 1206401216 bytes into star_index_hg38//SA_16 ; empty space on disk = 9432800092160 bytes ... done
Writing 945487584 bytes into star_index_hg38//SA_20 ; empty space on disk = 9431593680896 bytes ... done
Writing 1145432264 bytes into star_index_hg38//SA_14 ; empty space on disk = 9430648193024 bytes ... done
Writing 1231086800 bytes into star_index_hg38//SA_23 ; empty space on disk = 9429502758912 bytes ... done
Writing 1210809136 bytes into star_index_hg38//SA_18 ; empty space on disk = 9428271661056 bytes ... done
Writing 1227365960 bytes into star_index_hg38//SA_22 ; empty space on disk = 9427060846592 bytes ...Writing 1227913712 bytes into star_index_hg38//SA_17 ; empty space on disk = 9426410651648 bytes ... done
 done
Writing 1221926416 bytes into star_index_hg38//SA_19 ; empty space on disk = 9424605560832 bytes ... done
Writing 1225613336 bytes into star_index_hg38//SA_21 ; empty space on disk = 9423383621632 bytes ... done
Writing 1136242128 bytes into star_index_hg38//SA_24 ; empty space on disk = 9422158000128 bytes ... done
Writing 1097134256 bytes into star_index_hg38//SA_25 ; empty space on disk = 9421021753344 bytes ... done
Writing 1189944072 bytes into star_index_hg38//SA_26 ; empty space on disk = 9419924615168 bytes ... done
Writing 1125442096 bytes into star_index_hg38//SA_27 ; empty space on disk = 9418734661632 bytes ... done
Writing 906245640 bytes into star_index_hg38//SA_31 ; empty space on disk = 9417609216000 bytes ... done
Writing 1124985856 bytes into star_index_hg38//SA_30 ; empty space on disk = 9416702959616 bytes ... done
Writing 962865880 bytes into star_index_hg38//SA_29 ; empty space on disk = 9415577972736 bytes ... done
Writing 1137023232 bytes into star_index_hg38//SA_28 ; empty space on disk = 9414615097344 bytes ... done
Writing 1033211528 bytes into star_index_hg38//SA_32 ; empty space on disk = 9413478072320 bytes ... done
Writing 1081161072 bytes into star_index_hg38//SA_33 ; empty space on disk = 9412444852224 bytes ... done
Writing 966945312 bytes into star_index_hg38//SA_38 ; empty space on disk = 9411363684352 bytes ... done
Writing 1166294904 bytes into star_index_hg38//SA_35 ; empty space on disk = 9410396737536 bytes ... done
Writing 1052221144 bytes into star_index_hg38//SA_34 ; empty space on disk = 9409230442496 bytes ... done
Writing 1107823144 bytes into star_index_hg38//SA_36 ; empty space on disk = 9408178208768 bytes ... done
Writing 726121360 bytes into star_index_hg38//SA_42 ; empty space on disk = 9407070380032 bytes ... done
Writing 1153584232 bytes into star_index_hg38//SA_37 ; empty space on disk = 9406344253440 bytes ... done
Writing 707534240 bytes into star_index_hg38//SA_41 ; empty space on disk = 9405190664192 bytes ... done
Writing 1035495448 bytes into star_index_hg38//SA_40 ; empty space on disk = 9404483129344 bytes ... done
Writing 1194680400 bytes into star_index_hg38//SA_39 ; empty space on disk = 9403447623680 bytes ... done
Jan 19 13:41:37 ... loading chunks from disk, packing SA...
Jan 19 13:43:45 ... finished generating suffix array
Jan 19 13:43:45 ... generating Suffix Array index
Jan 19 13:49:11 ... completed Suffix Array index
Jan 19 13:49:11   Finished preparing junctions
Jan 19 13:49:11 ..... inserting junctions into the genome indices
Jan 19 13:50:31   Finished SA search: number of new junctions=402056, old junctions=0
Jan 19 13:52:05   Finished sorting SA indicesL nInd=160822400
Genome size with junctions=3219201224  3138387968   80813256
GstrandBit1=32   GstrandBit=32
Jan 19 13:53:38   Finished inserting junction indices
Jan 19 13:54:30   Finished SAi
Jan 19 13:54:30 ..... finished inserting junctions into genome
Jan 19 13:54:30 ... writing Genome to disk ...
Writing 3219201224 bytes into star_index_hg38//Genome ; empty space on disk = 9449409040384 bytes ... done
SA size in bytes: 24989571382
Jan 19 13:54:35 ... writing Suffix Array to disk ...
Writing 24989571382 bytes into star_index_hg38//SA ; empty space on disk = 9446189838336 bytes ... done
Jan 19 13:55:09 ... writing SAindex to disk
Writing 8 bytes into star_index_hg38//SAindex ; empty space on disk = 9421200257024 bytes ... done
Writing 120 bytes into star_index_hg38//SAindex ; empty space on disk = 9421200257024 bytes ... done
Writing 1565873491 bytes into star_index_hg38//SAindex ; empty space on disk = 9421200257024 bytes ... done
Jan 19 13:55:13 ..... finished successfully
DONE: Genome generation, EXITING
